monthID,title,totalnumber,ssecret,nsecret
2018-03-,公金支出情報（平成３０年３月分）,47869,　 ・0件,0
2018-04-,公金支出情報（平成３０年４月分）,11522,　 ・2件,2
2018-05-,公金支出情報（平成３０年５月分）,27721,・４件,4
2018-06-,公金支出情報（平成３０年６月分）,37088,　 ・３件,3
2018-07-,公金支出情報（平成３０年７月分）,46279,　 ・３件,3
2018-08-,公金支出情報（平成３０年８月分）,42800,　 ・３件,3
2018-09-,公金支出情報（平成３０年９月分）,34356,　 ・産業労働局　３件,3
2018-10-,公金支出情報（平成３０年１０月分）,48025,　 ・産業労働局　３件,3
2018-11-,公金支出情報（平成３０年１１月分）,41317,　 ・産業労働局　３件,3
2018-12-,公金支出情報（平成３０年１２月分）,39509,　 ・産業労働局　３件,3
2019-01-,公金支出情報（平成３１年１月分）,43567,　 ・産業労働局　２件,2
2019-02-,公金支出情報（平成３１年２月分）,41907,　 ・産業労働局　４件,4
2019-03-,公金支出情報（平成３１年３月分）,47493,　 ・　０件,0
2019-04-,公金支出情報（平成３１年４月分）,11846,　 ・産業労働局　３件,3
2019-05-,公金支出情報（令和元年５月分）,26222,　 ・産業労働局　３件,3
2019-06-,公金支出情報（令和元年６月分）,36139,　 ・産業労働局　３件,3
2019-07-,公金支出情報（令和元年７月分）,47642,　 ・産業労働局　３件,3
2019-08-,公金支出情報（令和元年８月分）,39842,　 ・産業労働局　３件,3
2019-09-,公金支出情報（令和元年９月分）,39929,　 ・産業労働局　３件,3
2019-10-,公金支出情報（令和元年１０月分）,45769,　 ・産業労働局　３件,3
2019-11-,公金支出情報（令和元年１１月分）,37737,　 ・産業労働局　３件,3
2019-12-,公金支出情報（令和元年１２月分）,43188,　 ・産業労働局　３件,3
2020-01-,公金支出情報（令和２年１月分）,43842,　 ・産業労働局　３件,3